location,population,travel_method,event_travel,bus_days,accommodation_type,accommodation_cost,transport_cost,number_events_previously_attended,event_organisation_rating,course_planning_rating,social_programme_rating,quality_rating_livestream,website_info_rating,printed_programme_rating,daily_news_info,facebook_twitter_following,facebook_twitter_rating,residence,local_authority
kenmore,NA,own vehicle,own vehicle,other,camping/caravan,2000,100,14,excellent,excellent,not interested in social programme,NA,excellent,average,some days,no,NA,other uk,NA
england,NA,rail,shared private vehicle,other,self catering,700,other,10,good,good,not interested in social programme,good,good,good,yes,no,NA,other uk,NA
scone,5050,own vehicle,own vehicle,other,self catering,2000,100,14,good,average,not interested in social programme,NA,average,average,yes,no,NA,other europe,NA
st fillans,NA,hired vehicle,hired vehicle,other,self catering,700,other,10,good,good,good,good,excellent,excellent,yes,no,NA,scotland,highland
new fowlis,NA,own vehicle,own vehicle,other,self catering,1870,300,13,excellent,good,not interested in social programme,good,excellent,excellent,no,no,NA,other uk,NA
killin,770,own vehicle,own vehicle,other,self catering,800,50,4,excellent,excellent,excellent,NA,good,good,some days,yes,good,other europe,NA
comrie,NA,own vehicle,own vehicle,other,camping/caravan,900,100,5,good,excellent,excellent,NA,good,excellent,some days,yes,good,other uk,NA
comrie,NA,own vehicle,own vehicle,other,friends/relatives,70,6,other,excellent,excellent,excellent,excellent,excellent,good,some days,no,NA,scotland,highland
killin,770,own vehicle,own vehicle,other,friends/relatives,90,100,16,excellent,excellent,excellent,excellent,excellent,good,some days,yes,excellent,scotland,east renfrewshire
crieff,7430,ferry and vehicle,own vehicle,other,camping/caravan,1000,1000,2,good,good,not interested in social programme,good,good,good,yes,yes,good,other uk,wnorfolk
perth,47430,own vehicle,shared private vehicle,other,camping/caravan,1500,1000,11,excellent,excellent,not interested in social programme,NA,excellent,excellent,yes,yes,good,scotland,south ayrshire
lochearnhead,NA,own vehicle,own vehicle,other,self catering,580,100,6,good,good,good,good,good,average,yes,no,NA,other europe,NA
callander,3160,rail,event bus,5,camping/caravan,215,50,20,excellent,excellent,average,NA,good,excellent,yes,yes,good,other uk,NA
lochearnhead,NA,own vehicle,own vehicle,other,multiple,70,6,other,excellent,excellent,not interested in social programme,good,good,good,some days,no,NA,other uk,NA
multiple,NA,own vehicle,own vehicle,other,self catering,2500,1500,2,excellent,good,not interested in social programme,good,excellent,excellent,yes,no,NA,other uk,NA
dunkeld,NA,own vehicle,own vehicle,other,camping/caravan,2000,100,14,excellent,excellent,not interested in social programme,good,excellent,excellent,yes,no,NA,other europe,NA
killin,770,hired vehicle,hired vehicle,other,self catering,1500,1000,11,good,good,not interested in social programme,NA,good,good,some days,no,NA,scotland,edinburgh
auchterarder,5120,own vehicle,own vehicle,other,self catering,350,60,5,excellent,good,not interested in social programme,NA,excellent,good,no,no,NA,scotland,aberdeenshire
multiple,NA,own vehicle,own vehicle,other,guest house/b+b,other,75,7,excellent,good,good,good,good,good,some days,no,NA,other uk,NA
st fillans,NA,own vehicle,own vehicle,other,comrie,900,100,5,average,good,not interested in social programme,NA,good,good,yes,yes,good,other uk,NA
comrie,NA,own vehicle,own vehicle,other,camping/caravan,300,100,6,good,average,not interested in social programme,very poor,good,good,some days,no,NA,scotland,highland
crieff,7430,own vehicle,own vehicle,other,self catering,700,other,10,excellent,excellent,not interested in social programme,good,excellent,excellent,yes,yes,excellent,scotland,falkirk
doune,2150,own vehicle,own vehicle,other,hotel,420,100,2,excellent,excellent,not interested in social programme,excellent,excellent,excellent,yes,no,NA,other uk,NA
multiple,NA,own vehicle,own vehicle,other,self catering,750,200,other,excellent,excellent,excellent,excellent,excellent,excellent,some days,no,NA,scotland,edinburgh
comrie,NA,own vehicle,own vehicle,other,self catering,666.84,100,9,excellent,excellent,not interested in social programme,NA,good,good,some days,no,NA,scotland,stirling
methven,1300,own vehicle,own vehicle,other,hotel,120,140,6,excellent,excellent,excellent,good,good,good,some days,yes,good,other uk,NA
comrie,NA,own vehicle,shared private vehicle,other,friends/relatives,625,70,15,excellent,good,good,NA,good,excellent,yes,no,NA,scotland,unknown
bankfoot,1220,own vehicle,own vehicle,other,self catering,450,250,1,excellent,excellent,excellent,NA,excellent,excellent,no,no,NA,scotland,midlothian
braco,550,own vehicle,own vehicle,other,self catering,1600,200,8,excellent,good,not interested in social programme,good,average,excellent,yes,no,NA,other uk,NA
comrie,NA,own vehicle,own vehicle,other,at home,250,150,1,excellent,excellent,very poor,NA,good,good,some days,no,NA,other europe,NA
multiple,NA,own vehicle,shared private vehicle,other,camping/caravan,200,90,20,excellent,excellent,excellent,NA,excellent,excellent,yes,no,NA,other uk,NA
crieff,7430,own vehicle,own vehicle,other,self catering,1000,1000,2,excellent,good,not interested in social programme,good,good,excellent,yes,yes,excellent,other uk,NA
pitlochry,2950,own vehicle,own vehicle,other,self catering,500,30,4,good,average,good,NA,good,average,no,no,NA,scotland,perth and kinross
comrie,NA,air,hired vehicle,other,self catering,700,other,10,good,good,not interested in social programme,good,good,excellent,yes,yes,good,other uk,NA
comrie,NA,own vehicle,own vehicle,other,self catering,500,30,4,excellent,excellent,not interested in social programme,NA,good,good,some days,no,NA,other uk,NA
comrie,NA,own vehicle,own vehicle,other,self catering,650,150,14,excellent,excellent,excellent,NA,excellent,excellent,yes,yes,good,other europe,NA
comrie,NA,own vehicle,own vehicle,other,at home,1500,1000,11,excellent,excellent,not interested in social programme,good,good,excellent,yes,yes,excellent,other uk,NA
multiple,NA,own vehicle,own vehicle,other,hotel,210,80,5,excellent,excellent,not interested in social programme,NA,excellent,excellent,yes,no,NA,scotland,east renfrewshire
monzie,NA,own vehicle,mix of private and public,4,guest house/b+b,225,other,10,excellent,good,good,NA,excellent,excellent,yes,no,NA,other uk,NA
lochearnhead,NA,own vehicle,own vehicle,other,self catering,700,other,10,excellent,excellent,average,NA,good,good,yes,no,NA,other uk,NA
killin,770,hired vehicle,hired vehicle,other,self catering,800,50,4,excellent,excellent,excellent,NA,good,excellent,no,no,NA,other uk,NA
crieff,7430,own vehicle,own vehicle,other,at home,10,60,1,excellent,excellent,not interested in social programme,good,excellent,excellent,yes,no,NA,other uk,NA
perth,47430,own vehicle,own vehicle,other,comrie,other,75,7,excellent,excellent,good,NA,excellent,excellent,yes,yes,excellent,other uk,NA
comrie,NA,own vehicle,own vehicle,other,self catering,550,150,4,excellent,good,not interested in social programme,average,good,good,yes,no,NA,other uk,NA
doune,2150,own vehicle,own vehicle,other,self catering,3000,720,13,excellent,good,not interested in social programme,good,average,excellent,yes,no,NA,scotland,aberdeenshire
multiple,NA,hired vehicle,hired vehicle,other,self catering,357,450,5,good,good,not interested in social programme,average,good,good,no,no,NA,other uk,NA
comrie,NA,own vehicle,own vehicle,other,self catering,1000,1000,2,excellent,excellent,good,NA,excellent,average,yes,yes,good,scotland,fife
dunblane,9410,own vehicle,own vehicle,other,self catering,500,30,4,excellent,excellent,not interested in social programme,excellent,excellent,excellent,some days,yes,good,other uk,somerset
muthill,750,own vehicle,own vehicle,other,self catering,800,50,4,excellent,excellent,not interested in social programme,excellent,average,average,no,no,NA,other europe,NA
crieff,7430,own vehicle,own vehicle,other,comrie,500,30,4,average,good,not interested in social programme,NA,good,excellent,some days,yes,good,other uk,NA
perth,47430,shared private vehicle,shared private vehicle,other,camping/caravan,360,150,3,excellent,excellent,not interested in social programme,NA,excellent,excellent,some days,no,NA,rest of the world,NA
comrie,NA,own vehicle,own vehicle,other,comrie,1000,1000,2,good,good,good,NA,good,good,some days,yes,good,other uk,NA
multiple,NA,hired vehicle,hired vehicle,other,hotel,2,50,10,good,excellent,not interested in social programme,NA,excellent,excellent,yes,yes,excellent,scotland,edinburgh
aberfeldy,1950,own vehicle,own vehicle,other,self catering,700,other,10,good,good,not interested in social programme,good,average,average,some days,yes,good,other uk,NA
comrie,NA,own vehicle,own vehicle,other,hotel,120,140,6,excellent,good,not interested in social programme,good,excellent,excellent,some days,no,NA,scotland,west lothian
other,NA,air,hired vehicle,other,self catering,272,60,1,excellent,excellent,not interested in social programme,NA,excellent,excellent,yes,yes,excellent,other uk,NA
multiple,NA,own vehicle,own vehicle,other,self catering,270,60,3,average,good,not interested in social programme,NA,excellent,good,some days,no,NA,other uk,NA
comrie,NA,rail,military car,other,self catering,1000,1000,2,excellent,excellent,good,good,excellent,excellent,yes,no,NA,other uk,NA
st fillans,NA,own vehicle,own vehicle,other,self catering,1000,1000,2,excellent,excellent,not interested in social programme,excellent,excellent,excellent,yes,yes,excellent,scotland,edinburgh
comrie,NA,own vehicle,own vehicle,other,comrie,200,90,20,good,excellent,not interested in social programme,NA,excellent,excellent,some days,no,NA,other uk,NA
perth,47430,own vehicle,own vehicle,other,self catering,640,100,2,excellent,excellent,not interested in social programme,NA,excellent,excellent,yes,no,NA,other uk,NA
perth,47430,own vehicle,own vehicle,other,self catering,580,100,6,good,excellent,not interested in social programme,good,excellent,average,yes,no,NA,other europe,NA
dunkeld,NA,own vehicle,shared private vehicle,other,self catering,500,30,4,excellent,good,not interested in social programme,NA,good,good,some days,yes,excellent,scotland,edinburgh
aberfeldy,1950,own vehicle,own vehicle,1,self catering,1000,1000,2,excellent,good,not interested in social programme,excellent,good,good,no,no,NA,other uk,NA
stirling,37610,own vehicle,own vehicle,other,self catering,1100,200,other,excellent,good,not interested in social programme,good,excellent,excellent,yes,no,NA,other uk,NA
comrie,NA,bus,event bus,6,comrie,150,150,3,good,good,not interested in social programme,good,average,average,some days,no,NA,other uk,NA
multiple,NA,own vehicle,own vehicle,other,guest house/b+b,160,80,4,excellent,excellent,excellent,NA,excellent,excellent,yes,no,NA,scotland,aberdeenshire
comrie,NA,own vehicle,own vehicle,other,at home,other,75,7,excellent,excellent,not interested in social programme,good,excellent,excellent,yes,yes,excellent,other uk,NA
ballinluig,NA,own vehicle,event bus,4,camping/caravan,860,120,6,average,good,average,NA,excellent,excellent,no,no,NA,other uk,NA
england,NA,own vehicle,own vehicle,other,self catering,790,240,21,excellent,good,not interested in social programme,good,excellent,excellent,yes,no,NA,other uk,NA
multiple,NA,own vehicle,event bus,5,comrie,250,150,1,excellent,excellent,excellent,good,average,excellent,some days,no,NA,other uk,NA
crieff,7430,own vehicle,shared private vehicle,other,self catering,600,200,22,excellent,good,good,average,good,good,no,yes,good,other uk,NA
local,NA,public transport,own vehicle,other,self catering,500,30,4,excellent,excellent,average,NA,good,good,some days,yes,poor,scotland,aberdeenshire
crieff,7430,own vehicle,own vehicle,other,self catering,1800,60,14,excellent,good,not interested in social programme,NA,good,good,yes,no,NA,other uk,NA
multiple,NA,own vehicle,own vehicle,1,friends/relatives,200,90,20,excellent,excellent,excellent,average,excellent,good,no,yes,average,scotland,highland
multiple,NA,own vehicle,own vehicle,other,self catering,488,120,10,good,good,not interested in social programme,NA,excellent,good,no,no,NA,other europe,NA
multiple,NA,own vehicle,own vehicle,other,hotel,90,100,16,excellent,excellent,average,NA,good,excellent,yes,yes,average,other uk,NA
killin,770,hired vehicle,hired vehicle,other,self catering,500,30,4,excellent,excellent,not interested in social programme,average,good,good,no,no,NA,other uk,NA
multiple,NA,own vehicle,own vehicle,other,comrie,70,6,other,excellent,excellent,excellent,excellent,excellent,average,some days,no,NA,other uk,NA
crieff,7430,own vehicle,own vehicle,other,at home,250,150,1,excellent,excellent,not interested in social programme,good,excellent,good,some days,no,NA,other uk,NA
killin,770,rail,event bus,7,camping/caravan,80,70,2,good,average,not interested in social programme,NA,average,average,some days,no,NA,other uk,NA
dunblane,9410,own vehicle,own vehicle,other,at home,560,60,14,good,good,average,NA,good,poor,some days,no,NA,other uk,NA
glen almond,NA,own vehicle,event bus,6,comrie,502,80,1,excellent,excellent,good,NA,average,good,yes,yes,good,other uk,NA
gargunnock,740,own vehicle,own vehicle,other,comrie,600,200,22,average,average,not interested in social programme,good,good,good,yes,yes,average,other uk,NA
crieff,7430,own vehicle,own vehicle,other,comrie,150,150,3,excellent,excellent,good,NA,average,good,no,yes,average,other uk,NA
perth,47430,own vehicle,event bus,4,comrie,195,70,13,good,excellent,good,good,excellent,excellent,some days,no,NA,scotland,edinburgh
moneydie,NA,own vehicle,own vehicle,other,self catering,1200,100,7,excellent,excellent,good,NA,excellent,excellent,yes,yes,good,other europe,NA
stirling,37610,own vehicle,shared private vehicle,other,self catering,357,450,5,excellent,good,not interested in social programme,NA,excellent,good,no,no,NA,other uk,NA
multiple,NA,hired vehicle,hired vehicle,other,camping/caravan,700,other,10,excellent,good,not interested in social programme,good,good,excellent,yes,no,NA,other uk,NA
multiple,NA,hired vehicle,hired vehicle,other,hotel,170,200,3,excellent,good,average,NA,excellent,excellent,some days,yes,good,other uk,NA
gilmerton,NA,own vehicle,own vehicle,other,comrie,1500,1000,11,good,good,good,poor,average,average,some days,no,NA,other europe,NA
comrie,NA,own vehicle,own vehicle,other,camping/caravan,800,50,4,excellent,excellent,not interested in social programme,NA,excellent,excellent,yes,yes,excellent,other uk,NA
killin,770,own vehicle,event bus,3,comrie,300,100,6,excellent,excellent,good,good,good,excellent,yes,yes,good,other europe,NA
aberfeldy,1950,own vehicle,event bus,3,comrie,1300,60,15,good,good,good,NA,excellent,good,yes,yes,average,scotland,east dunbartonshire
comrie,NA,own vehicle,own vehicle,other,comrie,160,80,4,excellent,good,not interested in social programme,NA,excellent,excellent,some days,no,NA,other uk,NA
crieff,7430,own vehicle,own vehicle,other,self catering,600,200,22,excellent,good,good,average,good,good,no,yes,average,other uk,NA
st fillans,NA,own vehicle,own vehicle,other,camping/caravan,140,150,4,excellent,good,not interested in social programme,average,excellent,good,some days,no,NA,other uk,NA
comrie,NA,own vehicle,own vehicle,other,hotel,560,60,14,excellent,excellent,not interested in social programme,poor,average,average,some days,no,NA,other uk,south norfolk
glasgow,612040,own vehicle,event bus,3,camping/caravan,other,75,7,excellent,excellent,excellent,NA,excellent,excellent,some days,no,NA,other europe,NA
loch katrine,NA,own vehicle,own vehicle,other,self catering,720,140,8,good,good,average,good,good,poor,no,no,NA,other uk,NA
fearnan,NA,own vehicle,own vehicle,other,self catering,800,50,4,excellent,excellent,good,NA,excellent,excellent,yes,yes,excellent,other uk,NA
crieff,7430,own vehicle,own vehicle,other,self catering,400,50,2,excellent,excellent,excellent,NA,good,good,no,no,NA,other uk,NA
comrie,NA,own vehicle,event bus,4,camping/caravan,800,50,4,excellent,excellent,average,NA,good,excellent,yes,yes,good,other uk,NA
multiple,NA,own vehicle,shared private vehicle,other,guest house/b+b,350,60,5,excellent,good,not interested in social programme,NA,good,average,some days,no,NA,other uk,NA
comrie,NA,own vehicle,own vehicle,other,self catering,600,200,22,good,good,not interested in social programme,average,good,average,no,no,NA,other uk,NA
crieff,7430,own vehicle,own vehicle,other,camping/caravan,1000,1000,2,excellent,excellent,not interested in social programme,NA,excellent,excellent,yes,yes,excellent,other uk,NA
madderty,NA,own vehicle,own vehicle,other,self catering,1300,60,15,excellent,average,not interested in social programme,excellent,average,poor,no,no,NA,other uk,NA
crieff,7430,hired vehicle,hired vehicle,other,guest house/b+b,100,40,3,excellent,good,excellent,NA,good,excellent,yes,no,NA,other uk,walsall
aberfeldy,1950,own vehicle,own vehicle,other,camping/caravan,176,100,12,excellent,excellent,excellent,good,excellent,excellent,some days,no,NA,other uk,NA
auchterarder,5120,own vehicle,own vehicle,other,self catering,400,50,2,excellent,excellent,excellent,good,excellent,excellent,yes,yes,excellent,other europe,NA
comrie,NA,own vehicle,event bus,5,comrie,250,150,1,good,good,excellent,good,average,average,some days,no,NA,other uk,NA
crieff,7430,own vehicle,own vehicle,other,self catering,270,60,3,good,good,good,good,good,excellent,some days,no,NA,other uk,NA
other,NA,own vehicle,own vehicle,other,self catering,500,30,4,excellent,excellent,not interested in social programme,good,excellent,excellent,yes,yes,good,scotland,edinburgh
stanley,1410,own vehicle,own vehicle,other,self catering,450,250,1,excellent,excellent,not interested in social programme,NA,good,good,some days,yes,good,scotland,highland
aberfeldy,1950,own vehicle,own vehicle,other,self catering,1800,60,14,excellent,excellent,not interested in social programme,good,good,good,yes,no,NA,other uk,NA
crieff,7430,own vehicle,own vehicle,other,self catering,1e+21,1e+21,1e+21,good,average,not interested in social programme,average,good,good,no,no,NA,other uk,NA
comrie,NA,own vehicle,own vehicle,other,self catering,450,250,1,excellent,average,not interested in social programme,NA,excellent,average,some days,no,NA,scotland,perth and kinross
comrie,NA,own vehicle,event bus,5,comrie,1000,1000,2,excellent,good,not interested in social programme,NA,good,excellent,some days,no,NA,other europe,NA
comrie,NA,rail,own vehicle,other,self catering,700,other,10,excellent,excellent,not interested in social programme,NA,good,excellent,yes,no,NA,other europe,NA
aberfeldy,1950,air,hired vehicle,other,self catering,450,250,1,excellent,good,not interested in social programme,NA,excellent,excellent,yes,yes,excellent,scotland,east renfrewshire
comrie,NA,own vehicle,own vehicle,other,friends/relatives,60,60,6,excellent,excellent,excellent,excellent,excellent,good,some days,no,NA,other uk,NA
multiple,NA,own vehicle,shared private vehicle,other,self catering,1200,100,7,excellent,excellent,not interested in social programme,NA,excellent,good,some days,yes,good,rest of the world,NA
crieff,7430,own vehicle,own vehicle,other,camping/caravan,80,70,2,excellent,good,good,NA,good,good,yes,no,NA,scotland,edinburgh
birnam,NA,own vehicle,own vehicle,other,self catering,1000,1000,2,excellent,excellent,not interested in social programme,excellent,excellent,excellent,yes,yes,good,other uk,NA
comrie,NA,own vehicle,own vehicle,1,comrie,260,100,8,excellent,good,excellent,excellent,excellent,excellent,no,no,NA,other uk,NA
perth,47430,air,hired vehicle,other,self catering,700,other,10,good,good,not interested in social programme,good,average,good,yes,yes,good,other europe,NA
perth,47430,own vehicle,own vehicle,other,comrie,560,60,14,good,average,not interested in social programme,NA,good,excellent,no,no,NA,other uk,NA
dunblane,9410,own vehicle,own vehicle,other,hotel,300,100,6,excellent,good,not interested in social programme,NA,excellent,excellent,yes,no,NA,other uk,NA
comrie,NA,own vehicle,own vehicle,other,at home,200,90,20,good,excellent,excellent,good,excellent,excellent,yes,no,NA,other uk,NA
lochearnhead,NA,hired vehicle,hired vehicle,other,guest house/b+b,900,100,5,average,average,excellent,excellent,excellent,average,some days,no,NA,scotland,aberdeenshire
crieff,7430,air,hired vehicle,other,self catering,600,200,22,good,good,good,good,good,good,yes,yes,good,scotland,midlothian
lochearnhead,NA,own vehicle,own vehicle,other,at home,500,30,4,excellent,excellent,not interested in social programme,average,average,good,some days,no,NA,other europe,NA
lochearnhead,NA,own vehicle,shared private vehicle,other,self catering,800,50,4,excellent,excellent,good,good,excellent,average,no,no,NA,other uk,NA
scone,5050,own vehicle,own vehicle,other,camping/caravan,215,50,20,excellent,excellent,excellent,NA,excellent,excellent,no,no,NA,other europe,NA
comrie,NA,own vehicle,own vehicle,other,camping/caravan,70,6,other,good,average,not interested in social programme,NA,average,poor,yes,no,NA,other uk,NA
multiple,NA,local,event bus,4,camping/caravan,372,200,other,good,average,not interested in social programme,NA,good,good,some days,yes,average,other uk,NA
england,NA,own vehicle,own vehicle,other,camping/caravan,500,30,4,excellent,excellent,not interested in social programme,excellent,excellent,excellent,yes,yes,excellent,scotland,edinburgh
scone,5050,own vehicle,own vehicle,other,hotel,70,6,other,excellent,good,not interested in social programme,good,good,good,yes,no,NA,other uk,NA
killin,770,own vehicle,own vehicle,other,comrie,30,100,5,good,good,average,NA,good,good,no,yes,average,other uk,NA
crieff,7430,own vehicle,own vehicle,other,self catering,1800,60,14,excellent,good,not interested in social programme,NA,excellent,average,some days,no,NA,other uk,NA
crieff,7430,rail,event bus,6,comrie,150,150,3,excellent,excellent,good,NA,good,good,some days,yes,good,scotland,moray
luncarty,1650,own vehicle,own vehicle,other,self catering,450,250,1,good,good,not interested in social programme,good,good,good,yes,no,NA,other europe,NA
comrie,NA,own vehicle,own vehicle,other,self catering,700,other,10,good,good,good,good,good,good,yes,no,NA,other uk,NA
comrie,NA,shared private vehicle,shared private vehicle,other,self catering,1000,1000,2,excellent,excellent,good,average,excellent,excellent,some days,yes,excellent,scotland,edinburgh
crieff,7430,air,hired vehicle,other,self catering,other,75,7,excellent,excellent,not interested in social programme,average,excellent,excellent,yes,no,NA,other uk,NA
england,NA,own vehicle,own vehicle,other,at home,760,120,6,excellent,excellent,good,good,good,excellent,some days,no,NA,other uk,NA
tibbermore,NA,own vehicle,shared private vehicle,other,comrie,290,50,7,excellent,excellent,not interested in social programme,good,excellent,excellent,yes,yes,excellent,other uk,NA
perth,47430,hired vehicle,hired vehicle,3,self catering,2200,150,2,good,good,not interested in social programme,NA,average,good,yes,no,NA,other uk,NA
dunblane,9410,own vehicle,own vehicle,other,hotel,470,100,10,excellent,excellent,excellent,good,excellent,excellent,no,no,NA,other uk,NA
dunblane,9410,own vehicle,own vehicle,other,camping/caravan,other,75,7,excellent,excellent,excellent,NA,excellent,excellent,yes,no,NA,other uk,NA
comrie,NA,own vehicle,own vehicle,other,self catering,400,50,2,excellent,excellent,not interested in social programme,NA,excellent,average,no,yes,excellent,other uk,NA
crieff,7430,own vehicle,event bus,6,self catering,700,other,10,excellent,good,not interested in social programme,excellent,excellent,good,no,no,NA,other uk,NA
lochearnhead,NA,own vehicle,shared private vehicle,other,at home,280,200,other,good,good,not interested in social programme,NA,excellent,excellent,no,no,NA,other uk,NA
gleneagles,NA,own vehicle,own vehicle,other,self catering,2000,100,14,excellent,good,average,NA,good,good,yes,no,NA,other uk,NA
perth,47430,own vehicle,own vehicle,other,friends/relatives,50,50,4,excellent,excellent,excellent,excellent,excellent,good,some days,no,NA,other uk,NA
comrie,NA,own vehicle,event bus,5,camping/caravan,700,other,10,excellent,excellent,excellent,NA,excellent,excellent,no,no,NA,other uk,NA
loch tay,NA,own vehicle,own vehicle,other,comrie,70,6,other,excellent,excellent,good,NA,excellent,excellent,no,no,NA,scotland,moray
st fillans,NA,own vehicle,cycle,other,camping/caravan,500,30,4,excellent,good,not interested in social programme,NA,good,good,some days,yes,good,scotland,edinburgh
crieff,7430,military car,cycle,other,comrie,590,100,other,average,good,good,NA,good,good,yes,yes,good,other uk,NA
amulree,NA,own vehicle,shared private vehicle,other,self catering,800,50,4,excellent,excellent,excellent,average,good,good,some days,yes,average,scotland,scottish borders
killin,770,own vehicle,mix of private and public,other,comrie,other,75,7,excellent,good,not interested in social programme,NA,excellent,excellent,yes,no,NA,other uk,NA
killin,770,hired vehicle,hired vehicle,other,self catering,other,75,7,excellent,excellent,excellent,good,good,good,some days,no,NA,scotland,stirling
callander,3160,own vehicle,shared private vehicle,other,hotel,100,40,3,excellent,excellent,not interested in social programme,NA,excellent,good,yes,no,NA,other uk,NA
crieff,7430,air,hired vehicle,other,self catering,610,50,16,excellent,good,not interested in social programme,NA,excellent,excellent,yes,yes,excellent,other europe,NA
comrie,NA,own vehicle,event bus,4,comrie,560,60,14,excellent,excellent,not interested in social programme,NA,excellent,good,yes,no,NA,scotland,edinburgh
dunkeld,NA,own vehicle,own vehicle,other,self catering,600,200,22,excellent,good,average,NA,good,excellent,some days,yes,poor,other uk,NA
dunning,970,own vehicle,mix of private and public,other,comrie,20,40,1,excellent,excellent,not interested in social programme,average,excellent,excellent,some days,no,NA,other uk,NA
callander,3160,own vehicle,own vehicle,other,self catering,3600,other,10,excellent,good,not interested in social programme,good,average,average,no,no,NA,other uk,NA
crieff,7430,own vehicle,own vehicle,other,self catering,500,30,4,good,good,not interested in social programme,good,good,good,some days,no,NA,other uk,colchester
multiple,NA,bus,event bus,5,comrie,150,150,3,excellent,excellent,excellent,good,good,excellent,yes,no,NA,other uk,NA
multiple,NA,air,hired vehicle,other,self catering,850,40,4,excellent,excellent,not interested in social programme,average,excellent,excellent,yes,no,NA,other uk,NA
killin,770,own vehicle,event bus,4,comrie,other,75,7,excellent,good,good,NA,excellent,excellent,no,no,NA,other uk,NA
glendevon,NA,own vehicle,own vehicle,other,self catering,600,200,22,good,average,not interested in social programme,NA,average,average,no,no,NA,other uk,NA
callander,3160,own vehicle,shared private vehicle,other,self catering,450,250,1,good,good,not interested in social programme,NA,excellent,good,some days,no,NA,other uk,NA
perth,47430,own vehicle,event bus,3,comrie,500,30,4,good,good,good,average,average,average,some days,no,NA,scotland,east dunbartonshire
strathyre,NA,own vehicle,own vehicle,other,self catering,100,40,3,excellent,excellent,not interested in social programme,NA,excellent,excellent,no,no,NA,other europe,NA
multiple,NA,own vehicle,own vehicle,other,at home,300,100,6,excellent,excellent,not interested in social programme,good,excellent,excellent,some days,no,NA,other uk,NA
st fillans,NA,own vehicle,event bus,4,comrie,100,40,3,good,good,not interested in social programme,NA,average,excellent,no,no,NA,other uk,NA
crieff,7430,own vehicle,shared private vehicle,other,friends/relatives,1200,100,7,excellent,excellent,excellent,NA,good,average,some days,yes,average,scotland,stirling
killin,770,own vehicle,own vehicle,other,self catering,600,200,22,good,average,not interested in social programme,NA,good,average,some days,yes,average,scotland,east ayrshire
crieff,7430,own vehicle,own vehicle,other,self catering,1100,200,other,average,average,not interested in social programme,good,average,average,some days,yes,good,other uk,NA
crieff,7430,own vehicle,own vehicle,other,self catering,320,100,other,excellent,excellent,not interested in social programme,NA,good,good,no,no,NA,other uk,NA
multiple,NA,own vehicle,own vehicle,other,comrie,other,75,7,excellent,excellent,good,NA,excellent,excellent,yes,yes,good,other uk,NA
comrie,NA,own vehicle,own vehicle,other,self catering,600,200,22,excellent,excellent,not interested in social programme,good,good,good,yes,yes,good,other uk,NA
comrie,NA,military car,event bus,3,comrie,200,90,20,excellent,excellent,not interested in social programme,NA,excellent,excellent,some days,no,NA,other europe,NA
buchanty,NA,own vehicle,own vehicle,other,self catering,3600,other,10,excellent,excellent,not interested in social programme,good,excellent,excellent,some days,no,NA,other uk,NA
sma glen,NA,own vehicle,own vehicle,other,self catering,500,30,4,excellent,excellent,not interested in social programme,good,excellent,excellent,yes,yes,good,scotland,east dunbartonshire
crieff,7430,own vehicle,own vehicle,other,friends/relatives,other,75,7,excellent,good,not interested in social programme,NA,good,excellent,no,no,NA,other uk,NA
multiple,NA,air,hired vehicle,other,guest house/b+b,150,150,3,good,excellent,excellent,average,average,good,some days,yes,excellent,other europe,NA
aberfeldy,1950,own vehicle,own vehicle,2,self catering,2500,1500,2,excellent,good,not interested in social programme,very poor,good,good,no,no,NA,other uk,NA
aberfeldy,1950,own vehicle,event bus,6,camping/caravan,other,75,7,excellent,excellent,average,NA,excellent,excellent,yes,yes,good,scotland,highland
crieff,7430,own vehicle,event bus,6,comrie,150,150,3,excellent,excellent,good,NA,good,good,no,no,NA,other uk,NA
comrie,NA,hired vehicle,hired vehicle,other,hotel,100,40,3,good,average,good,NA,good,average,some days,yes,average,other uk,NA
dunning,970,own vehicle,own vehicle,other,self catering,700,other,10,excellent,good,average,NA,good,excellent,some days,no,NA,rest of the world,NA
perth,47430,"NA",hired vehicle,other,hotel,120,140,6,good,good,not interested in social programme,NA,good,average,some days,yes,good,other uk,NA
comrie other,NA,own vehicle,own vehicle,other,at home,70,6,other,excellent,excellent,excellent,NA,excellent,excellent,some days,no,NA,scotland,edinburgh
comrie,NA,own vehicle,own vehicle,other,self catering,600,200,22,excellent,good,good,NA,good,average,some days,no,NA,scotland,clackmannanshire
fortingall,NA,own vehicle,own vehicle,other,self catering,450,250,1,excellent,good,good,NA,excellent,good,yes,no,NA,other europe,NA
comrie,NA,own vehicle,own vehicle,other,camping/caravan,other,75,7,excellent,excellent,not interested in social programme,NA,excellent,excellent,yes,no,NA,other uk,NA
dunkeld,NA,own vehicle,own vehicle,other,comrie,250,150,1,excellent,excellent,good,NA,good,excellent,some days,no,NA,rest of the world,NA
braco,550,own vehicle,own vehicle,other,self catering,1400,100,8,excellent,excellent,not interested in social programme,excellent,excellent,good,yes,no,NA,other uk,NA
dunkeld,NA,own vehicle,own vehicle,other,comrie,800,50,4,excellent,excellent,not interested in social programme,NA,excellent,good,some days,no,NA,scotland,east dunbartonshire
