location,population,travel_method,event_travel,bus_days,accommodation_type,accommodation_cost,transport_cost,number_events_previously_attended,event_organisation_rating,course_planning_rating,social_programme_rating,quality_rating_livestream,website_info_rating,printed_programme_rating,daily_news_info,facebook_twitter_following,facebook_twitter_rating,residence,local_authority
fowlis wester,NA,own vehicle,own vehicle,other,hotel,other,75,7,good,excellent,not interested in social programme,NA,excellent,excellent,yes,no,NA,other uk,NA
st fillans,NA,own vehicle,own vehicle,other,hotel,160,80,4,good,good,not interested in social programme,NA,good,good,some days,yes,good,other europe,NA
galashiels,13000,rail,event bus,3,comrie,420,100,2,good,good,good,NA,excellent,excellent,no,no,NA,scotland,east dunbartonshire
perth,47430,own vehicle,own vehicle,other,camping/caravan,400,50,2,excellent,excellent,not interested in social programme,average,excellent,excellent,some days,no,NA,other uk,NA
dunkeld,NA,own vehicle,own vehicle,other,comrie,other,75,7,good,good,not interested in social programme,average,average,average,no,no,NA,scotland,east lothian
comrie,NA,own vehicle,own vehicle,other,camping/caravan,120,140,6,good,good,not interested in social programme,NA,average,poor,no,no,NA,other uk,NA
luncarty,1650,own vehicle,own vehicle,other,self catering,600,200,22,excellent,good,not interested in social programme,NA,good,average,yes,yes,good,other uk,NA
crieff,7430,own vehicle,event bus,6,comrie,160,80,4,excellent,excellent,good,NA,excellent,excellent,yes,yes,excellent,other uk,NA
multiple,NA,own vehicle,own vehicle,other,self catering,600,200,22,excellent,excellent,not interested in social programme,poor,good,good,some days,no,NA,other uk,NA
crieff,7430,bus,event bus,7,camping/caravan,450,250,1,excellent,good,not interested in social programme,NA,good,excellent,yes,yes,excellent,scotland,dumfries and galloway
comrie,NA,own vehicle,own vehicle,other,self catering,1200,100,7,excellent,excellent,good,excellent,excellent,excellent,some days,no,NA,other uk,NA
multiple,NA,own vehicle,shared private vehicle,other,comrie,380,110,10,excellent,excellent,not interested in social programme,NA,average,good,no,no,NA,scotland,perth and kinross
callander,3160,own vehicle,own vehicle,other,self catering,500,30,4,excellent,excellent,excellent,excellent,excellent,excellent,some days,yes,good,other europe,NA
crieff,7430,own vehicle,own vehicle,other,self catering,750,200,other,excellent,good,not interested in social programme,NA,average,average,some days,no,NA,other uk,NA
comrie,NA,own vehicle,own vehicle,other,comrie,420,100,2,good,good,excellent,good,good,average,no,no,NA,other europe,NA
crieff,7430,own vehicle,own vehicle,other,self catering,800,50,4,excellent,good,good,NA,excellent,average,some days,no,NA,other uk,NA
crieff,7430,own vehicle,own vehicle,other,hotel,700,other,10,excellent,excellent,not interested in social programme,NA,excellent,excellent,some days,no,NA,other europe,NA
tigh mor,NA,own vehicle,own vehicle,other,self catering,486,100,28,good,good,excellent,excellent,good,good,yes,no,NA,other uk,NA
other,NA,hired vehicle,shared private vehicle,2,comrie,100,40,3,excellent,excellent,excellent,good,excellent,excellent,yes,yes,excellent,other uk,NA
fowlis wester,NA,hired vehicle,hired vehicle,other,guest house/b+b,360,150,3,excellent,good,not interested in social programme,average,good,good,some days,yes,good,other uk,NA
england,NA,own vehicle,event bus,5,comrie,100,40,3,excellent,excellent,average,NA,good,average,yes,yes,average,other uk,NA
crieff,7430,own vehicle,event bus,6,comrie,other,75,7,good,excellent,not interested in social programme,NA,good,good,no,no,NA,other uk,NA
gleneagles,NA,hired vehicle,event bus,6,comrie,70,6,other,excellent,excellent,not interested in social programme,NA,excellent,excellent,no,no,NA,other uk,NA
comrie,NA,own vehicle,own vehicle,other,hotel,160,80,4,good,good,not interested in social programme,good,good,good,yes,no,NA,other uk,NA
blair drummond,NA,own vehicle,own vehicle,other,self catering,500,30,4,excellent,good,not interested in social programme,NA,good,good,yes,no,NA,scotland,aberdeenshire
gargunnock,740,own vehicle,own vehicle,other,hotel,1000,1000,2,good,good,excellent,excellent,good,excellent,no,no,NA,other uk,NA
bankfoot,1220,own vehicle,own vehicle,other,self catering,400,50,2,excellent,excellent,not interested in social programme,poor,average,excellent,no,no,NA,scotland,aberdeenshire
st fillans,NA,hired vehicle,hired vehicle,other,hostel,160,80,4,good,good,not interested in social programme,poor,good,good,no,no,NA,other uk,NA
scone,5050,own vehicle,own vehicle,other,self catering,800,50,4,excellent,excellent,good,good,excellent,excellent,some days,yes,excellent,scotland,falkirk
pitlochry,2950,own vehicle,own vehicle,other,self catering,3000,720,13,good,good,average,NA,good,good,yes,yes,average,other uk,NA
lochearnhead,NA,own vehicle,own vehicle,other,hostel,126,50,2017,excellent,excellent,excellent,NA,excellent,excellent,no,no,NA,other uk,NA
glen almond,NA,own vehicle,own vehicle,other,self catering,2200,150,2,excellent,excellent,good,good,excellent,excellent,no,no,NA,other uk,NA
perth,47430,air,hired vehicle,other,self catering,other,75,7,excellent,excellent,excellent,good,excellent,excellent,yes,yes,excellent,rest of the world,NA
