"Table 3a: Estimated population of localities by broad age groups, mid-2016",,,,,,,,
,,,,,,,,
Locality Name,Locality Code,All Ages,Age Group,,,,,
,,,Under 16,16 to 64,65 & Over,,,
Calderbank,S19001380," 1,600 ", 321 ," 1,020 ", 259 ,,,
Caldercruix,S19001381," 2,450 ", 529 ," 1,573 ", 348 ,,,
California,S19001382, 790 , 140 , 525 , 125 ,,,
Callander,S19001383," 3,160 ", 472 ," 1,856 ", 832 ,,,
Cambuslang,S19001384," 29,100 "," 6,086 "," 19,181 "," 3,833 ",,,
Campbeltown,S19001385," 4,670 ", 769 ," 2,654 "," 1,247 ",,,
Caol,S19001386," 3,220 ", 620 ," 1,932 ", 668 ,,,
Cardenden and Auchterderran,S19001387," 5,420 "," 1,055 "," 3,301 "," 1,064 ",,,
Cardrona,S19001388, 910 , 229 , 548 , 133 ,,,
Cardross,S19001389," 2,110 ", 334 ," 1,265 ", 511 ,,,
Carfin,S19001390," 3,190 ", 737 ," 2,168 ", 285 ,,,
Cargenbridge,S19001391, 590 , 95 , 371 , 124 ,,,
Carluke,S19001392," 13,320 "," 2,177 "," 8,527 "," 2,616 ",,,
Carmunnock,S19001393," 1,280 ", 241 , 781 , 258 ,,,
Carnock,S19001394, 760 , 112 , 447 , 201 ,,,
Carnoustie,S19001395," 11,360 "," 1,999 "," 6,644 "," 2,717 ",,,
Carnwath,S19001396," 1,410 ", 245 , 913 , 252 ,,,
Carron,S19001397," 2,420 ", 306 ," 1,610 ", 504 ,,,
Carronshore,S19001398," 3,000 ", 535 ," 2,079 ", 386 ,,,
Carstairs,S19001399, 880 , 164 , 567 , 149 ,,,
Carstairs Junction,S19001400, 640 , 130 , 412 , 98 ,,,
Castle Douglas,S19001401," 4,080 ", 660 ," 2,318 "," 1,102 ",,,
Castletown,S19001402, 860 , 159 , 524 , 177 ,,,
Catrine,S19001403," 2,100 ", 326 ," 1,363 ", 411 ,,,
Ceres,S19001404, 950 , 147 , 538 , 265 ,,,
